Frame count,Player 1 Keypoints,Player 2 Keypoints,Ball Position,Shot Type,Player 1 RL World Position,Player 2 RL World Position,Ball RL World Position,Who Hit the Ball
11,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.4144202172756195, 0.347886323928833], [0.4295658469200134, 0.34692856669425964], [0.40775448083877563, 0.3839450478553772], [0.4369877874851227, 0.3817095458507538], [0.40063485503196716, 0.43460196256637573], [0.45066651701927185, 0.4298707842826843], [0.39889436960220337, 0.47599437832832336], [0.45059284567832947, 0.4720933735370636], [0.4146207869052887, 0.47548365592956543], [0.4349808692932129, 0.47449079155921936], [0.4141005873680115, 0.5440937876701355], [0.44011005759239197, 0.5428920984268188], [0.4169078767299652, 0.6073051691055298], [0.44622769951820374, 0.6050800681114197]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6466892957687378, 0.32918980717658997], [0.0, 0.0], [0.6421470046043396, 0.3606676459312439], [0.6661496162414551, 0.3633132874965668], [0.6333107948303223, 0.39648497104644775], [0.6641641855239868, 0.40085670351982117], [0.6309067606925964, 0.3979858458042145], [0.0, 0.0], [0.640831708908081, 0.4377855956554413], [0.6579646468162537, 0.4382912516593933], [0.6340808272361755, 0.49528130888938904], [0.6553653478622437, 0.49679437279701233], [0.6317700147628784, 0.5517048239707947], [0.6565325260162354, 0.5525227189064026]]","[0, 0]",straight drive,"[np.float64(5.525), np.float64(1.746), np.float64(0.235)]","[np.float64(5.794), np.float64(1.248), np.float64(0.168)]","[0, 0, 0]",0 hit the ball
12,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.41430559754371643, 0.34792274236679077], [0.42934831976890564, 0.34697461128234863], [0.4077843129634857, 0.38401952385902405], [0.43680277466773987, 0.3817661702632904], [0.400653213262558, 0.43476346135139465], [0.45033639669418335, 0.4299052059650421], [0.3984813988208771, 0.47613996267318726], [0.4498973786830902, 0.4721594452857971], [0.41449013352394104, 0.4753808379173279], [0.43472713232040405, 0.47432565689086914], [0.4139038622379303, 0.5442681908607483], [0.4397417902946472, 0.5430074334144592], [0.41688185930252075, 0.607931911945343], [0.446072518825531, 0.6055836081504822]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6464883089065552, 0.32806092500686646], [0.0, 0.0], [0.6411009430885315, 0.35971498489379883], [0.6662614941596985, 0.3625335693359375], [0.632045328617096, 0.3952605724334717], [0.6658402681350708, 0.3997085988521576], [0.6305232644081116, 0.39922192692756653], [0.0, 0.0], [0.6400421857833862, 0.43749892711639404], [0.6578264236450195, 0.4381971061229706], [0.6341612935066223, 0.4948851764202118], [0.6558030247688293, 0.4965175986289978], [0.6317094564437866, 0.5516608357429504], [0.6567598581314087, 0.5528351664543152]]","[0, 0]",straight drive,"[np.float64(5.524), np.float64(1.748), np.float64(0.235)]","[np.float64(5.793), np.float64(1.249), np.float64(0.168)]","[0, 0, 0]",0 hit the ball
13,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.41432780027389526, 0.3479374349117279], [0.4292004108428955, 0.34684234857559204], [0.4079696536064148, 0.3838177025318146], [0.43681472539901733, 0.38143280148506165], [0.4009646773338318, 0.4341494143009186], [0.45024603605270386, 0.4294159412384033], [0.3990299701690674, 0.4754236042499542], [0.4499679505825043, 0.4715205729007721], [0.41495829820632935, 0.4745575785636902], [0.4350869655609131, 0.4734988212585449], [0.4142693877220154, 0.5434110164642334], [0.44007349014282227, 0.5422078371047974], [0.4170669913291931, 0.6072230339050293], [0.44629746675491333, 0.6048416495323181]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6453243494033813, 0.3286932706832886], [0.0, 0.0], [0.6398491859436035, 0.3590187132358551], [0.6658423542976379, 0.3610954284667969], [0.6314049959182739, 0.3944646120071411], [0.6665360927581787, 0.3977309465408325], [0.6305990815162659, 0.39968863129615784], [0.0, 0.0], [0.6396421194076538, 0.4363115429878235], [0.6581552028656006, 0.43676796555519104], [0.6340080499649048, 0.4939107596874237], [0.6571184992790222, 0.49518677592277527], [0.6308807134628296, 0.5505635142326355], [0.6584445834159851, 0.551274299621582]]","[0, 0]",straight drive,"[np.float64(5.521), np.float64(1.754), np.float64(0.236)]","[np.float64(5.795), np.float64(1.245), np.float64(0.168)]","[0, 0, 0]",0 hit the ball
14,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.4142976701259613, 0.34786251187324524], [0.4290560781955719, 0.34673893451690674], [0.40803012251853943, 0.3837566673755646], [0.43682169914245605, 0.381409615278244], [0.40100088715553284, 0.434162437915802], [0.45010384917259216, 0.42969268560409546], [0.39875197410583496, 0.47646576166152954], [0.4494241774082184, 0.47282570600509644], [0.4151156544685364, 0.47462213039398193], [0.43525806069374084, 0.4735911190509796], [0.4141276776790619, 0.5435794591903687], [0.4401469826698303, 0.5424321293830872], [0.4167326092720032, 0.6074260473251343], [0.4463600218296051, 0.6050808429718018]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6455814242362976, 0.3280538320541382], [0.0, 0.0], [0.6396464705467224, 0.3576977550983429], [0.666283905506134, 0.3596847653388977], [0.630423367023468, 0.39265063405036926], [0.6675918698310852, 0.39527592062950134], [0.6290366649627686, 0.3963761627674103], [0.6633760929107666, 0.39933133125305176], [0.639475405216217, 0.43570607900619507], [0.6583744287490845, 0.4361301064491272], [0.6340597867965698, 0.49334296584129333], [0.6580803394317627, 0.49452659487724304], [0.6311551332473755, 0.5499892234802246], [0.6597307324409485, 0.5506123304367065]]","[0, 0]",straight drive,"[np.float64(5.52), np.float64(1.755), np.float64(0.236)]","[np.float64(5.795), np.float64(1.246), np.float64(0.168)]","[0, 0, 0]",0 hit the ball
15,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.4142692983150482, 0.3478291928768158], [0.42882782220840454, 0.3467230498790741], [0.40789794921875, 0.38378065824508667], [0.4363937973976135, 0.3813202679157257], [0.4009273946285248, 0.43397092819213867], [0.449817955493927, 0.42903441190719604], [0.3989408612251282, 0.4764770567417145], [0.44965043663978577, 0.4724424481391907], [0.4149533808231354, 0.4747144877910614], [0.43485015630722046, 0.4736364185810089], [0.41430363059043884, 0.5438037514686584], [0.4399512708187103, 0.5425587296485901], [0.4170498251914978, 0.6076833605766296], [0.44617003202438354, 0.6052906513214111]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.645207405090332, 0.3295266926288605], [0.0, 0.0], [0.638256847858429, 0.35949790477752686], [0.6659632921218872, 0.35972413420677185], [0.6288437247276306, 0.39385688304901123], [0.6696456074714661, 0.39514872431755066], [0.6299088597297668, 0.39992424845695496], [0.6683355569839478, 0.40077832341194153], [0.6391445994377136, 0.4359479546546936], [0.6589460968971252, 0.4355261027812958], [0.6335827112197876, 0.49267545342445374], [0.6605420112609863, 0.4931640625], [0.6290891766548157, 0.5488550066947937], [0.6621336340904236, 0.5488266944885254]]","[0, 0]",straight drive,"[np.float64(5.521), np.float64(1.754), np.float64(0.236)]","[np.float64(5.788), np.float64(1.261), np.float64(0.17)]","[0, 0, 0]",0 hit the ball
16,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.4143370985984802, 0.34763303399086], [0.4287485182285309, 0.3465577960014343], [0.4080776572227478, 0.3836611807346344], [0.43636828660964966, 0.3813653290271759], [0.40125489234924316, 0.43429943919181824], [0.44918712973594666, 0.4298369884490967], [0.39883679151535034, 0.47767436504364014], [0.4481186270713806, 0.474059134721756], [0.41499823331832886, 0.4750206768512726], [0.4348755478858948, 0.4740198254585266], [0.4140545725822449, 0.5442603230476379], [0.4399701654911041, 0.5431177616119385], [0.4163490831851959, 0.608160138130188], [0.44604915380477905, 0.6059165000915527]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6467167735099792, 0.32922667264938354], [0.6603525280952454, 0.32984602451324463], [0.639142632484436, 0.3603794574737549], [0.6667954325675964, 0.36004120111465454], [0.6294835805892944, 0.39608120918273926], [0.673095166683197, 0.39465659856796265], [0.6296131014823914, 0.4060819745063782], [0.6730650663375854, 0.4047536253929138], [0.6391708850860596, 0.43687209486961365], [0.6589895486831665, 0.43604379892349243], [0.6337012052536011, 0.4945797026157379], [0.6614355444908142, 0.4943215548992157], [0.6284192800521851, 0.5499982833862305], [0.6630631685256958, 0.549395740032196]]","[0, 0]",straight drive,"[np.float64(5.522), np.float64(1.752), np.float64(0.236)]","[np.float64(5.783), np.float64(1.271), np.float64(0.171)]","[0, 0, 0]",0 hit the ball
17,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.4143303334712982, 0.34749263525009155], [0.42851120233535767, 0.34639325737953186], [0.4081689715385437, 0.38345658779144287], [0.4362142086029053, 0.38121503591537476], [0.4014977514743805, 0.43381768465042114], [0.4487951695919037, 0.42952755093574524], [0.39905858039855957, 0.4766753315925598], [0.4474601745605469, 0.4731869697570801], [0.41518157720565796, 0.4744153618812561], [0.4349678158760071, 0.47345030307769775], [0.4141506254673004, 0.5437754988670349], [0.44023337960243225, 0.5426705479621887], [0.4165442883968353, 0.6085745692253113], [0.4466630518436432, 0.6063297986984253]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6474677920341492, 0.32945770025253296], [0.6614981293678284, 0.3304532468318939], [0.6391745209693909, 0.361613005399704], [0.6669791340827942, 0.36122459173202515], [0.6302365660667419, 0.3978286385536194], [0.6752835512161255, 0.39519473910331726], [0.6313861012458801, 0.4056895077228546], [0.6772373914718628, 0.4030372202396393], [0.6395038366317749, 0.43785014748573303], [0.6594201326370239, 0.43707022070884705], [0.634554922580719, 0.4954189360141754], [0.6621442437171936, 0.494795560836792], [0.6294963359832764, 0.5499903559684753], [0.6640001535415649, 0.5494428277015686]]","[0, 0]",straight drive,"[np.float64(5.52), np.float64(1.755), np.float64(0.236)]","[np.float64(5.773), np.float64(1.291), np.float64(0.174)]","[0, 0, 0]",0 hit the ball
18,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.4142223000526428, 0.347307026386261], [0.4283965229988098, 0.346250057220459], [0.40825071930885315, 0.38315534591674805], [0.43604740500450134, 0.38104140758514404], [0.401829332113266, 0.4335709810256958], [0.44796428084373474, 0.4295578896999359], [0.3991798758506775, 0.4760760962963104], [0.4458743631839752, 0.47277960181236267], [0.4150463938713074, 0.4741060137748718], [0.4347814619541168, 0.4731781780719757], [0.41387447714805603, 0.5437207818031311], [0.4401853680610657, 0.5426629781723022], [0.41611289978027344, 0.6087951064109802], [0.44684553146362305, 0.6066144108772278]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6605902314186096, 0.33121368288993835], [0.6389394402503967, 0.3605705201625824], [0.6648451089859009, 0.3616380989551544], [0.63108229637146, 0.39761605858802795], [0.6737817525863647, 0.39801299571990967], [0.6350623369216919, 0.4034062623977661], [0.6763821244239807, 0.4023173153400421], [0.6401000618934631, 0.4355267882347107], [0.6590865850448608, 0.435993492603302], [0.6342130303382874, 0.4945603311061859], [0.6633098125457764, 0.49479904770851135], [0.6290010809898376, 0.5486129522323608], [0.6644507646560669, 0.5496199131011963]]","[0, 0]",straight drive,"[np.float64(5.52), np.float64(1.755), np.float64(0.236)]","[np.float64(5.771), np.float64(1.296), np.float64(0.175)]","[0, 0, 0]",0 hit the ball
19,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.4141750931739807, 0.3473791778087616], [0.42829185724258423, 0.3463965058326721], [0.40802597999572754, 0.3833456337451935], [0.4357699751853943, 0.38121291995048523], [0.40151530504226685, 0.43343305587768555], [0.44804081320762634, 0.4290323853492737], [0.3988879323005676, 0.47533175349235535], [0.4463748335838318, 0.4717280864715576], [0.4147610068321228, 0.47400763630867004], [0.4343748986721039, 0.47306811809539795], [0.41406387090682983, 0.5437965989112854], [0.4399929940700531, 0.5426522493362427], [0.41658711433410645, 0.6086137294769287], [0.44671574234962463, 0.6064049005508423]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6621924638748169, 0.3318159282207489], [0.6413323879241943, 0.36023029685020447], [0.6660937070846558, 0.36101722717285156], [0.634749710559845, 0.3939715027809143], [0.6746327877044678, 0.3934059143066406], [0.6394609808921814, 0.39795443415641785], [0.6797912120819092, 0.3964427411556244], [0.6409767270088196, 0.43780601024627686], [0.6588501334190369, 0.43764275312423706], [0.6367356181144714, 0.49547865986824036], [0.6627775430679321, 0.4952877461910248], [0.6314845085144043, 0.549049437046051], [0.6640080213546753, 0.5494318008422852]]","[0, 0]",straight drive,"[np.float64(5.525), np.float64(1.745), np.float64(0.235)]","[np.float64(5.768), np.float64(1.302), np.float64(0.176)]","[0, 0, 0]",0 hit the ball
20,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.4141713082790375, 0.3475032448768616], [0.4282429814338684, 0.3465430438518524], [0.4080743193626404, 0.38312995433807373], [0.4357222616672516, 0.38108164072036743], [0.40196043252944946, 0.43248769640922546], [0.4475434422492981, 0.42835578322410583], [0.3997322916984558, 0.472467839717865], [0.4456637501716614, 0.46893563866615295], [0.4146776795387268, 0.4731575846672058], [0.43429556488990784, 0.47225210070610046], [0.4138473570346832, 0.5432404279708862], [0.43991199135780334, 0.5421473979949951], [0.415963739156723, 0.608880341053009], [0.44642314314842224, 0.6067794561386108]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6615945100784302, 0.33132562041282654], [0.6384699940681458, 0.36132127046585083], [0.6639930605888367, 0.36267030239105225], [0.632743239402771, 0.39665091037750244], [0.6760089993476868, 0.39682552218437195], [0.6447511911392212, 0.38797813653945923], [0.6875372529029846, 0.3847247362136841], [0.6407191157341003, 0.43863967061042786], [0.6590211391448975, 0.4398445188999176], [0.6364179849624634, 0.49806374311447144], [0.6649339199066162, 0.49837711453437805], [0.6299819350242615, 0.5518768429756165], [0.6638497114181519, 0.5544442534446716]]","[0, 0]",straight drive,"[np.float64(5.527), np.float64(1.741), np.float64(0.235)]","[np.float64(5.767), np.float64(1.305), np.float64(0.176)]","[0, 0, 0]",0 hit the ball
21,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.4142143130302429, 0.3474084138870239], [0.4281696379184723, 0.3464790880680084], [0.4082542061805725, 0.38300344347953796], [0.43575042486190796, 0.3813173174858093], [0.40228286385536194, 0.43314439058303833], [0.44724124670028687, 0.43011075258255005], [0.40008649230003357, 0.4743887186050415], [0.4448585510253906, 0.47164833545684814], [0.4150630831718445, 0.4733404517173767], [0.43466100096702576, 0.472650945186615], [0.41384243965148926, 0.5438541173934937], [0.4399256110191345, 0.5430112481117249], [0.4158197045326233, 0.6105071306228638], [0.4463212490081787, 0.6086650490760803]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6634498834609985, 0.3325854539871216], [0.639825165271759, 0.36187034845352173], [0.6648191213607788, 0.3640901744365692], [0.635118305683136, 0.3979867398738861], [0.6768292188644409, 0.3989689350128174], [0.6487659215927124, 0.38808539509773254], [0.6894655823707581, 0.3850313425064087], [0.6409651041030884, 0.44024038314819336], [0.6589235067367554, 0.44176340103149414], [0.6371816396713257, 0.49883973598480225], [0.665033757686615, 0.49929365515708923], [0.6310998201370239, 0.5524581074714661], [0.6641599535942078, 0.555585503578186]]","[0, 0]",straight drive,"[np.float64(5.526), np.float64(1.744), np.float64(0.235)]","[np.float64(5.768), np.float64(1.303), np.float64(0.176)]","[0, 0, 0]",0 hit the ball
